Channel,Count,3382 sec
150,1035,
151,1035,
152,1090,
153,1052,
154,1015,
155,1036,
156,1010,
157,1106,
158,1091,
159,1088,
160,1056,
161,1110,
162,1119,
163,1088,
164,1239,
165,1203,
166,1213,
167,1340,
168,1436,
169,1264,
170,1251,
171,1340,
172,1321,
173,1322,
174,1290,
175,1340,
176,1368,
177,1248,
178,1276,
179,1201,
180,1076,
181,1004,
182,1044,
183,993,
184,968,
185,961,
186,988,
187,1019,
188,954,
189,936,
190,963,
191,937,
192,940,
193,937,
194,944,
195,907,
196,891,
197,934,
198,874,
199,896,
200,929,
201,911,
202,925,
203,886,
204,828,
205,942,
206,940,
207,947,
208,849,
209,669,
210,677,
211,631,
212,677,
213,680,
214,742,
215,887,
216,2633,
217,7989,
218,5888,
219,1544,
220,619,
221,534,
222,518,
223,484,
224,492,
225,470,
226,445,
227,440,
228,438,
229,440,
230,453,
231,400,
232,287,
233,300,
234,275,
235,272,
236,248,
237,269,
238,265,
239,220,
240,262,
241,247,
242,231,
243,238,
244,262,
245,329,
246,976,
247,4692,
248,6813,
249,2202,
250,382,
251,145,
252,141,
253,120,
254,121,
255,134,
256,162,
257,170,
258,124,
259,108,
260,108,
261,115,
262,133,
263,110,
264,97,
265,111,
266,107,
267,107,
268,120,
269,132,
270,101,
271,873,
272,2638,
273,1914,
274,356,
275,37,
276,62,
277,44,
278,56,
279,49,
280,71,
281,77,
282,73,
283,55,
284,56,
285,44,
286,68,
287,56,
288,65,
289,42,
290,51,
291,45,
292,46,
293,33,
294,41,
295,61,
296,75,
297,70,
298,78,
299,49,
300,52,
301,42,
302,38,
303,53,
304,53,
305,52,
306,38,
307,30,
308,35,
309,35,
310,49,
311,31,
312,31,
313,32,
314,32,
315,40,
316,32,
317,40,
318,29,
319,38,
320,34,
321,26,
322,31,
323,50,
324,60,
325,35,
326,25,
327,30,
328,33,
329,68,
330,177,
331,129,
332,50,
333,31,
334,24,
335,37,
336,33,
337,34,
338,26,
339,27,
340,19,
341,18,
342,27,
343,33,
344,30,
345,36,
346,51,
347,35,
348,23,
349,34,
350,29,
351,29,
352,36,
353,29,
354,20,
355,24,
356,24,
357,28,
358,31,
359,27,
360,21,
361,25,
362,26,
363,28,
364,39,
365,23,
366,23,
367,29,
368,28,
369,20,
370,17,
371,18,
372,23,
373,27,
374,16,
375,23,
376,24,
377,25,
378,28,
379,24,
380,27,
381,27,
382,23,
383,20,
384,28,
385,18,
386,20,
387,27,
388,26,
389,22,
390,22,
391,19,
392,27,
393,34,
394,36,
395,42,
396,35,
397,23,
398,33,
399,36,
400,28,
1350,44,
1351,41,
1352,53,
1353,40,
1354,43,
1355,31,
1356,42,
1357,38,
1358,47,
1359,41,
1360,49,
1361,41,
1362,47,
1363,39,
1364,43,
1365,57,
1366,53,
1367,38,
1368,63,
1369,40,
1370,32,
1371,53,
1372,41,
1373,38,
1374,54,
1375,47,
1376,59,
1377,37,
1378,50,
1379,51,
1380,47,
1381,56,
1382,53,
1383,37,
1384,56,
1385,50,
1386,47,
1387,49,
1388,52,
1389,47,
1390,49,
1391,47,
1392,48,
1393,70,
1394,58,
1395,43,
1396,41,
1397,49,
1398,62,
1399,72,
1400,58,
1401,52,
1402,60,
1403,58,
1404,53,
1405,50,
1406,48,
1407,67,
1408,60,
1409,51,
1410,66,
1411,50,
1412,44,
1413,57,
1414,75,
1415,69,
1416,60,
1417,59,
1418,72,
1419,68,
1420,66,
1421,56,
1422,62,
1423,63,
1424,69,
1425,59,
1426,68,
1427,59,
1428,66,
1429,65,
1430,58,
1431,70,
1432,59,
1433,70,
1434,49,
1435,55,
1436,78,
1437,69,
1438,65,
1439,80,
1440,87,
1441,90,
1442,62,
1443,62,
1444,76,
1445,77,
1446,80,
1447,77,
1448,83,
1449,86,
1450,77,
1451,71,
1452,83,
1453,91,
1454,81,
1455,88,
1456,89,
1457,94,
1458,93,
1459,82,
1460,78,
1461,75,
1462,93,
1463,107,
1464,98,
1465,96,
1466,96,
1467,103,
1468,108,
1469,88,
1470,93,
1471,91,
1472,110,
1473,107,
1474,105,
1475,108,
1476,110,
1477,104,
1478,111,
1479,91,
1480,90,
1481,89,
1482,119,
1483,88,
1484,88,
1485,110,
1486,109,
1487,101,
1488,108,
1489,121,
1490,122,
1491,104,
1492,117,
1493,112,
1494,130,
1495,139,
1496,137,
1497,124,
1498,149,
1499,156,
1500,142,
1501,147,
1502,135,
1503,143,
1504,141,
1505,159,
1506,174,
1507,150,
1508,157,
1509,144,
1510,148,
1511,149,
1512,163,
1513,172,
1514,180,
1515,166,
1516,162,
1517,156,
1518,183,
1519,167,
1520,159,
1521,163,
1522,186,
1523,171,
1524,170,
1525,202,
1526,167,
1527,158,
1528,188,
1529,171,
1530,176,
1531,180,
1532,204,
1533,183,
1534,184,
1535,185,
1536,187,
1537,163,
1538,188,
1539,160,
1540,174,
1541,176,
1542,173,
1543,166,
1544,148,
1545,157,
1546,175,
1547,173,
1548,161,
1549,185,
1550,227,
1551,228,
1552,229,
1553,276,
1554,257,
1555,336,
1556,402,
1557,456,
1558,512,
1559,666,
1560,771,
1561,960,
1562,1100,
1563,1270,
1564,1406,
1565,1400,
1566,1316,
1567,1083,
1568,750,
1569,472,
1570,276,
1571,148,
1572,52,
1573,24,
1574,12,
1575,9,
1576,5,
1577,6,
1578,8,
1579,5,
1580,9,
1581,6,
1582,7,
1583,10,
1584,10,
1585,6,
1586,8,
1587,9,
1588,3,
1589,4,
1590,8,
1591,4,
1592,6,
1593,11,
1594,5,
1595,4,
1596,9,
1597,5,
1598,2,
1599,6,
1600,3,
1601,3,
1602,5,
1603,4,
1604,4,
1605,5,
1606,4,
1607,8,
1608,4,
1609,5,
1610,4,
1611,1,
1612,8,
1613,4,
1614,2,
1615,4,
1616,2,
1617,0,
1618,3,
1619,4,
1620,2,
1621,1,
1622,2,
1623,5,
1624,1,
1625,3,
1626,2,
1627,3,
1628,5,
1629,2,
1630,2,
1631,2,
1632,3,
1633,0,
1634,2,
1635,2,
1636,1,
1637,1,
1638,3,
1639,1,
1640,3,
1641,2,
1642,1,
1643,3,
1644,1,
1645,2,
1646,0,
1647,1,
1648,4,
1649,1,
1650,3,
2950,97,
2951,102,
2952,89,
2953,94,
2954,107,
2955,90,
2956,88,
2957,101,
2958,109,
2959,96,
2960,102,
2961,99,
2962,109,
2963,111,
2964,101,
2965,101,
2966,100,
2967,85,
2968,106,
2969,113,
2970,94,
2971,111,
2972,105,
2973,122,
2974,112,
2975,105,
2976,96,
2977,104,
2978,114,
2979,95,
2980,96,
2981,108,
2982,114,
2983,123,
2984,103,
2985,107,
2986,115,
2987,111,
2988,126,
2989,102,
2990,109,
2991,108,
2992,129,
2993,116,
2994,132,
2995,110,
2996,130,
2997,115,
2998,110,
2999,125,
3000,130,
3001,132,
3002,110,
3003,112,
3004,133,
3005,128,
3006,134,
3007,104,
3008,117,
3009,112,
3010,133,
3011,147,
3012,135,
3013,125,
3014,133,
3015,129,
3016,112,
3017,177,
3018,133,
3019,131,
3020,144,
3021,130,
3022,131,
3023,166,
3024,144,
3025,92,
3026,142,
3027,148,
3028,137,
3029,126,
3030,140,
3031,123,
3032,120,
3033,159,
3034,112,
3035,144,
3036,114,
3037,142,
3038,124,
3039,127,
3040,125,
3041,139,
3042,115,
3043,123,
3044,115,
3045,145,
3046,133,
3047,116,
3048,134,
3049,143,
3050,119,
3051,130,
3052,108,
3053,126,
3054,112,
3055,121,
3056,108,
3057,122,
3058,118,
3059,135,
3060,118,
3061,116,
3062,106,
3063,107,
3064,108,
3065,121,
3066,110,
3067,126,
3068,103,
3069,108,
3070,118,
3071,116,
3072,111,
3073,125,
3074,124,
3075,124,
3076,99,
3077,124,
3078,132,
3079,121,
3080,114,
3081,144,
3082,127,
3083,147,
3084,131,
3085,120,
3086,127,
3087,107,
3088,126,
3089,137,
3090,130,
3091,123,
3092,118,
3093,144,
3094,134,
3095,142,
3096,106,
3097,108,
3098,126,
3099,116,
3100,129,
3101,112,
3102,130,
3103,133,
3104,119,
3105,134,
3106,116,
3107,125,
3108,125,
3109,106,
3110,129,
3111,122,
3112,105,
3113,108,
3114,126,
3115,112,
3116,115,
3117,111,
3118,94,
3119,119,
3120,100,
3121,112,
3122,107,
3123,125,
3124,136,
3125,116,
3126,129,
3127,143,
3128,146,
3129,171,
3130,187,
3131,160,
3132,201,
3133,194,
3134,173,
3135,151,
3136,186,
3137,167,
3138,145,
3139,112,
3140,108,
3141,89,
3142,52,
3143,41,
3144,25,
3145,14,
3146,17,
3147,9,
3148,5,
3149,7,
3150,3,
3151,2,
3152,5,
3153,1,
3154,5,
3155,7,
3156,3,
3157,2,
3158,3,
3159,3,
3160,5,
3161,2,
3162,9,
3163,9,
3164,4,
3165,5,
3166,5,
3167,7,
3168,7,
3169,4,
3170,5,
3171,4,
3172,1,
3173,2,
3174,3,
3175,8,
3176,9,
3177,7,
3178,4,
3179,3,
3180,2,
3181,2,
3182,2,
3183,5,
3184,3,
3185,9,
3186,3,
3187,4,
3188,5,
3189,4,
3190,4,
3191,4,
3192,5,
3193,6,
3194,1,
3195,6,
3196,5,
3197,6,
3198,6,
3199,2,
3200,4,
